county	precinct	office	district	party	candidate	votes	
Sullivan	Bethel 1	President		DEM	Hillary Clinton - Tim Kaine	203	
Sullivan	Bethel 1	President		REP	Donald J. Trump - Michael R. Pence	289	
Sullivan	Bethel 1	President		CON	Donald J. Trump - Michael R. Pence	58	
Sullivan	Bethel 1	President		GRN	Jill Stein - Ajamu Baraka	4	
Sullivan	Bethel 1	President		WFP	Hillary Clinton - Tim Kaine	6	
Sullivan	Bethel 1	President		IND	Gary Johnson  - Bill Weld	12	
Sullivan	Bethel 1	President		WEP	Hillary Clinton - Tim Kaine	1	
Sullivan	Bethel 1	President		LBT	Gary Johnson -  Bill Weld	4	
Sullivan	Bethel 1	President			Write-ins	0	
Sullivan	Bethel 1	President			Void	0	
Sullivan	Bethel 1	President			Blank	8	
Sullivan	Bethel 1	President			Scattering	1	
Sullivan	Bethel 1	President			Total	586	
Sullivan	Bethel 1	U.S. Senate		DEM	Charles E. Schumer	272	
Sullivan	Bethel 1	U.S. Senate		REP	Wendy Long	174	
Sullivan	Bethel 1	U.S. Senate		CON	Wendy Long	47	
Sullivan	Bethel 1	U.S. Senate		GRN	Robin Laverne Wilson	4	
Sullivan	Bethel 1	U.S. Senate		WFP	Charles E. Schumer	22	
Sullivan	Bethel 1	U.S. Senate		IND	Charles E. Schumer	21	
Sullivan	Bethel 1	U.S. Senate		WEP	Charles E. Schumer	5	
Sullivan	Bethel 1	U.S. Senate		REF	Wendy Long	2	
Sullivan	Bethel 1	U.S. Senate		LBT	Alex Merced	2	
Sullivan	Bethel 1	U.S. Senate			Write-ins	0	
Sullivan	Bethel 1	U.S. Senate			Void	0	
Sullivan	Bethel 1	U.S. Senate			Blank	37	
Sullivan	Bethel 1	U.S. Senate			Total	586	
Sullivan	Bethel 1	U.S. House	19	DEM	Zephyr Teachout	227	A
Sullivan	Bethel 1	U.S. House	19	REP	John J. Faso	238	B
Sullivan	Bethel 1	U.S. House	19	CON	John J. Faso	54	C
Sullivan	Bethel 1	U.S. House	19	WFP	Zephyr Teachout	21	E
Sullivan	Bethel 1	U.S. House	19	IND	John J. Faso	13	F
Sullivan	Bethel 1	U.S. House	19	REF	John J. Faso	1	H
Sullivan	Bethel 1	U.S. House	19		Write-ins	0	
Sullivan	Bethel 1	U.S. House	19		Void	0	
Sullivan	Bethel 1	U.S. House	19		Blank	32	
Sullivan	Bethel 1	U.S. House	19		Total	586	
Sullivan	Bethel 1	State Senate	42	DEM	Pramilla S. Malick	145	A
Sullivan	Bethel 1	State Senate	42	REP	John J. Bonacic	305	B
Sullivan	Bethel 1	State Senate	42	CON	John J. Bonacic	55	C
Sullivan	Bethel 1	State Senate	42	IND	John J. Bonacic	24	F
Sullivan	Bethel 1	State Senate	42	REF	John J. Bonacic	2	H
Sullivan	Bethel 1	State Senate	42		Write-ins	0	
Sullivan	Bethel 1	State Senate	42		Void	0	
Sullivan	Bethel 1	State Senate	42		Blank	55	
Sullivan	Bethel 1	State Senate	42		Total	586	
Sullivan	Bethel 1	State House	100	DEM	Aileen M. Gunther	290	A
Sullivan	Bethel 1	State House	100	WFP	Aileen M. Gunther	35	E
Sullivan	Bethel 1	State House	100	IND	Aileen M. Gunther	44	F
Sullivan	Bethel 1	State House	100		Write-ins	3	
Sullivan	Bethel 1	State House	100		Void	0	
Sullivan	Bethel 1	State House	100		Blank	214	
Sullivan	Bethel 1	State House	100		Total	586	
