county,precinct,office,district,party,candidate,votes,public_counter_votes,emergency_votes,absentee_military_votes,federal_votes,affidavit_votes,manually_counted_emergency,special_presidential
New York,025/72,President,,Libertarian,Gary Johnson / Bill Weld,0,564,,12,0,23,2,0,0
New York,025/72,President,,Independence,Gary Johnson / Bill Weld,4,564,,12,0,23,2,0,0
New York,025/72,President,,Working Families,Hillary Clinton / Tim Kaine,8,564,,12,0,23,2,0,0
New York,025/72,President,,Women's Equality,Hillary Clinton / Tim Kaine,2,564,,12,0,23,2,0,0
New York,025/72,President,,Democratic,Hillary Clinton / Tim Kaine,528,564,,12,0,23,2,0,0
New York,025/72,President,,Republican,Donald J. Trump / Michael R. Pence,35,564,,12,0,23,2,0,0
New York,025/72,President,,Conservative,Donald J. Trump / Michael R. Pence,3,564,,12,0,23,2,0,0
New York,025/72,President,,Green,Jill Stein / Ajamu Baraka,14,564,,12,0,23,2,0,0
New York,012/71,President,,Libertarian,Gary Johnson / Bill Weld,1,794,,47,1,21,10,0,0
New York,012/71,President,,Independence,Gary Johnson / Bill Weld,4,794,,47,1,21,10,0,0
New York,012/71,President,,Working Families,Hillary Clinton / Tim Kaine,41,794,,47,1,21,10,0,0
New York,012/71,President,,Women's Equality,Hillary Clinton / Tim Kaine,4,794,,47,1,21,10,0,0
New York,012/71,President,,Democratic,Hillary Clinton / Tim Kaine,745,794,,47,1,21,10,0,0
New York,012/71,President,,Republican,Donald J. Trump / Michael R. Pence,38,794,,47,1,21,10,0,0
New York,012/71,President,,Conservative,Donald J. Trump / Michael R. Pence,0,794,,47,1,21,10,0,0
New York,012/71,President,,Green,Jill Stein / Ajamu Baraka,18,794,,47,1,21,10,0,0
New York,028/74,President,,Libertarian,Gary Johnson / Bill Weld,0,287,,2,1,14,,0,0
New York,028/74,President,,Independence,Gary Johnson / Bill Weld,1,287,,2,1,14,,0,0
New York,028/74,President,,Working Families,Hillary Clinton / Tim Kaine,14,287,,2,1,14,,0,0
New York,028/74,President,,Women's Equality,Hillary Clinton / Tim Kaine,0,287,,2,1,14,,0,0
New York,028/74,President,,Democratic,Hillary Clinton / Tim Kaine,262,287,,2,1,14,,0,0
New York,028/74,President,,Republican,Donald J. Trump / Michael R. Pence,15,287,,2,1,14,,0,0
New York,028/74,President,,Conservative,Donald J. Trump / Michael R. Pence,5,287,,2,1,14,,0,0
New York,028/74,President,,Green,Jill Stein / Ajamu Baraka,5,287,,2,1,14,,0,0
New York,028/75,President,,Libertarian,Gary Johnson / Bill Weld,4,645,,39,19,17,5,16,0
New York,028/75,President,,Independence,Gary Johnson / Bill Weld,4,645,,39,19,17,5,16,0
