county,precinct,office,district,party,candidate,votes
Saratoga,Ballston 1,Governor,,DEM,Kathy C. Hochul,223
Saratoga,Ballston 2,Governor,,DEM,Kathy C. Hochul,336
Saratoga,Ballston 3,Governor,,DEM,Kathy C. Hochul,455
Saratoga,Ballston 4,Governor,,DEM,Kathy C. Hochul,325
Saratoga,Ballston 5,Governor,,DEM,Kathy C. Hochul,175
Saratoga,Ballston 6,Governor,,DEM,Kathy C. Hochul,477
Saratoga,Ballston 7,Governor,,DEM,Kathy C. Hochul,218
Saratoga,Ballston 8,Governor,,DEM,Kathy C. Hochul,199
Saratoga,Ballston 9,Governor,,DEM,Kathy C. Hochul,160
Saratoga,Charlton 1,Governor,,DEM,Kathy C. Hochul,276
Saratoga,Charlton 2,Governor,,DEM,Kathy C. Hochul,92
Saratoga,Charlton 3,Governor,,DEM,Kathy C. Hochul,186
Saratoga,Charlton 4,Governor,,DEM,Kathy C. Hochul,275
Saratoga,Clifton Park 1,Governor,,DEM,Kathy C. Hochul,286
Saratoga,Clifton Park 2,Governor,,DEM,Kathy C. Hochul,246
Saratoga,Clifton Park 3,Governor,,DEM,Kathy C. Hochul,169
Saratoga,Clifton Park 4,Governor,,DEM,Kathy C. Hochul,387
Saratoga,Clifton Park 5,Governor,,DEM,Kathy C. Hochul,91
Saratoga,Clifton Park 6,Governor,,DEM,Kathy C. Hochul,264
Saratoga,Clifton Park 7,Governor,,DEM,Kathy C. Hochul,134
Saratoga,Clifton Park 8,Governor,,DEM,Kathy C. Hochul,305
Saratoga,Clifton Park 9,Governor,,DEM,Kathy C. Hochul,117
Saratoga,Clifton Park 10,Governor,,DEM,Kathy C. Hochul,280
Saratoga,Clifton Park 11,Governor,,DEM,Kathy C. Hochul,295
Saratoga,Clifton Park 12,Governor,,DEM,Kathy C. Hochul,358
Saratoga,Clifton Park 13,Governor,,DEM,Kathy C. Hochul,254
Saratoga,Clifton Park 14,Governor,,DEM,Kathy C. Hochul,275
Saratoga,Clifton Park 15,Governor,,DEM,Kathy C. Hochul,338
Saratoga,Clifton Park 16,Governor,,DEM,Kathy C. Hochul,267
Saratoga,Clifton Park 17,Governor,,DEM,Kathy C. Hochul,200
Saratoga,Clifton Park 18,Governor,,DEM,Kathy C. Hochul,278
Saratoga,Clifton Park 19,Governor,,DEM,Kathy C. Hochul,283
Saratoga,Clifton Park 20,Governor,,DEM,Kathy C. Hochul,312
Saratoga,Clifton Park 21,Governor,,DEM,Kathy C. Hochul,318
Saratoga,Clifton Park 22,Governor,,DEM,Kathy C. Hochul,251
Saratoga,Clifton Park 23,Governor,,DEM,Kathy C. Hochul,238
Saratoga,Clifton Park 24,Governor,,DEM,Kathy C. Hochul,295
Saratoga,Clifton Park 25,Governor,,DEM,Kathy C. Hochul,282
Saratoga,Clifton Park 26,Governor,,DEM,Kathy C. Hochul,217
Saratoga,Clifton Park 27,Governor,,DEM,Kathy C. Hochul,201
Saratoga,Clifton Park 28,Governor,,DEM,Kathy C. Hochul,176
Saratoga,Clifton Park 29,Governor,,DEM,Kathy C. Hochul,317
Saratoga,Clifton Park 30,Governor,,DEM,Kathy C. Hochul,158
Saratoga,Clifton Park 31,Governor,,DEM,Kathy C. Hochul,351
Saratoga,Clifton Park 32,Governor,,DEM,Kathy C. Hochul,210
Saratoga,Clifton Park 33,Governor,,DEM,Kathy C. Hochul,280
Saratoga,Clifton Park 34,Governor,,DEM,Kathy C. Hochul,392
Saratoga,Corinth 1,Governor,,DEM,Kathy C. Hochul,99
Saratoga,Corinth 2,Governor,,DEM,Kathy C. Hochul,100
Saratoga,Corinth 3,Governor,,DEM,Kathy C. Hochul,134
Saratoga,Corinth 4,Governor,,DEM,Kathy C. Hochul,93
Saratoga,Corinth 5,Governor,,DEM,Kathy C. Hochul,148
Saratoga,Day 1,Governor,,DEM,Kathy C. Hochul,141
Saratoga,Edinburg 1,Governor,,DEM,Kathy C. Hochul,183
Saratoga,Galway 1,Governor,,DEM,Kathy C. Hochul,187
Saratoga,Galway 2,Governor,,DEM,Kathy C. Hochul,210
Saratoga,Galway 3,Governor,,DEM,Kathy C. Hochul,162
Saratoga,Greenfield 1,Governor,,DEM,Kathy C. Hochul,216
Saratoga,Greenfield 2,Governor,,DEM,Kathy C. Hochul,172
Saratoga,Greenfield 3,Governor,,DEM,Kathy C. Hochul,184
Saratoga,Greenfield 4,Governor,,DEM,Kathy C. Hochul,271
Saratoga,Greenfield 5,Governor,,DEM,Kathy C. Hochul,237
Saratoga,Greenfield 6,Governor,,DEM,Kathy C. Hochul,139
Saratoga,Greenfield 7,Governor,,DEM,Kathy C. Hochul,127
Saratoga,Greenfield 8,Governor,,DEM,Kathy C. Hochul,142
Saratoga,Hadley 1,Governor,,DEM,Kathy C. Hochul,63
Saratoga,Hadley 2,Governor,,DEM,Kathy C. Hochul,115
Saratoga,Halfmoon 1,Governor,,DEM,Kathy C. Hochul,189
Saratoga,Halfmoon 2,Governor,,DEM,Kathy C. Hochul,241
Saratoga,Halfmoon 3,Governor,,DEM,Kathy C. Hochul,286
Saratoga,Halfmoon 4,Governor,,DEM,Kathy C. Hochul,365
Saratoga,Halfmoon 5,Governor,,DEM,Kathy C. Hochul,198
Saratoga,Halfmoon 6,Governor,,DEM,Kathy C. Hochul,240
Saratoga,Halfmoon 7,Governor,,DEM,Kathy C. Hochul,299
Saratoga,Halfmoon 8,Governor,,DEM,Kathy C. Hochul,209
Saratoga,Halfmoon 9,Governor,,DEM,Kathy C. Hochul,344
Saratoga,Halfmoon 10,Governor,,DEM,Kathy C. Hochul,137
Saratoga,Halfmoon 11,Governor,,DEM,Kathy C. Hochul,417
Saratoga,Halfmoon 12,Governor,,DEM,Kathy C. Hochul,256
Saratoga,Halfmoon 13,Governor,,DEM,Kathy C. Hochul,144
Saratoga,Halfmoon 14,Governor,,DEM,Kathy C. Hochul,278
Saratoga,Halfmoon 15,Governor,,DEM,Kathy C. Hochul,82
Saratoga,Halfmoon 16,Governor,,DEM,Kathy C. Hochul,47
Saratoga,Halfmoon 17,Governor,,DEM,Kathy C. Hochul,100
Saratoga,Halfmoon 18,Governor,,DEM,Kathy C. Hochul,298
Saratoga,Halfmoon 19,Governor,,DEM,Kathy C. Hochul,262
Saratoga,Malta 1,Governor,,DEM,Kathy C. Hochul,410
Saratoga,Malta 2,Governor,,DEM,Kathy C. Hochul,494
Saratoga,Malta 3,Governor,,DEM,Kathy C. Hochul,288
Saratoga,Malta 4,Governor,,DEM,Kathy C. Hochul,215
Saratoga,Malta 5,Governor,,DEM,Kathy C. Hochul,246
Saratoga,Malta 6,Governor,,DEM,Kathy C. Hochul,438
Saratoga,Malta 7,Governor,,DEM,Kathy C. Hochul,231
Saratoga,Malta 8,Governor,,DEM,Kathy C. Hochul,299
Saratoga,Malta 9,Governor,,DEM,Kathy C. Hochul,151
Saratoga,Malta 10,Governor,,DEM,Kathy C. Hochul,212
Saratoga,Malta 11,Governor,,DEM,Kathy C. Hochul,261
Saratoga,Malta 12,Governor,,DEM,Kathy C. Hochul,317
Saratoga,Mechanicville 1,Governor,,DEM,Kathy C. Hochul,109
Saratoga,Mechanicville 2,Governor,,DEM,Kathy C. Hochul,58
Saratoga,Mechanicville 3,Governor,,DEM,Kathy C. Hochul,110
Saratoga,Mechanicville 4,Governor,,DEM,Kathy C. Hochul,69
Saratoga,Mechanicville 5,Governor,,DEM,Kathy C. Hochul,121
Saratoga,Mechanicville 6,Governor,,DEM,Kathy C. Hochul,90
Saratoga,Milton 1,Governor,,DEM,Kathy C. Hochul,193
Saratoga,Milton 2,Governor,,DEM,Kathy C. Hochul,220
Saratoga,Milton 3,Governor,,DEM,Kathy C. Hochul,140
Saratoga,Milton 4,Governor,,DEM,Kathy C. Hochul,270
Saratoga,Milton 5,Governor,,DEM,Kathy C. Hochul,292
Saratoga,Milton 6,Governor,,DEM,Kathy C. Hochul,142
Saratoga,Milton 7,Governor,,DEM,Kathy C. Hochul,194
Saratoga,Milton 8,Governor,,DEM,Kathy C. Hochul,145
Saratoga,Milton 9,Governor,,DEM,Kathy C. Hochul,320
Saratoga,Milton 10,Governor,,DEM,Kathy C. Hochul,348
Saratoga,Milton 11,Governor,,DEM,Kathy C. Hochul,214
Saratoga,Milton 12,Governor,,DEM,Kathy C. Hochul,109
Saratoga,Milton 13,Governor,,DEM,Kathy C. Hochul,415
Saratoga,Milton 14,Governor,,DEM,Kathy C. Hochul,261
Saratoga,Moreau 1,Governor,,DEM,Kathy C. Hochul,133
Saratoga,Moreau 2,Governor,,DEM,Kathy C. Hochul,155
Saratoga,Moreau 3,Governor,,DEM,Kathy C. Hochul,237
Saratoga,Moreau 4,Governor,,DEM,Kathy C. Hochul,177
Saratoga,Moreau 5,Governor,,DEM,Kathy C. Hochul,314
Saratoga,Moreau 6,Governor,,DEM,Kathy C. Hochul,224
Saratoga,Moreau 7,Governor,,DEM,Kathy C. Hochul,189
Saratoga,Moreau 8,Governor,,DEM,Kathy C. Hochul,140
Saratoga,Moreau 9,Governor,,DEM,Kathy C. Hochul,178
Saratoga,Moreau 10,Governor,,DEM,Kathy C. Hochul,259
Saratoga,Moreau 11,Governor,,DEM,Kathy C. Hochul,281
Saratoga,Northumberland 1,Governor,,DEM,Kathy C. Hochul,324
Saratoga,Northumberland 2,Governor,,DEM,Kathy C. Hochul,237
Saratoga,Northumberland 3,Governor,,DEM,Kathy C. Hochul,102
Saratoga,Northumberland 4,Governor,,DEM,Kathy C. Hochul,144
Saratoga,Providence 1,Governor,,DEM,Kathy C. Hochul,122
Saratoga,Providence 2,Governor,,DEM,Kathy C. Hochul,89
Saratoga,Saratoga 1,Governor,,DEM,Kathy C. Hochul,272
Saratoga,Saratoga 2,Governor,,DEM,Kathy C. Hochul,288
Saratoga,Saratoga 3,Governor,,DEM,Kathy C. Hochul,146
Saratoga,Saratoga 4,Governor,,DEM,Kathy C. Hochul,150
Saratoga,Saratoga 5,Governor,,DEM,Kathy C. Hochul,228
Saratoga,Saratoga Springs 1,Governor,,DEM,Kathy C. Hochul,371
Saratoga,Saratoga Springs 2,Governor,,DEM,Kathy C. Hochul,249
Saratoga,Saratoga Springs 3,Governor,,DEM,Kathy C. Hochul,231
Saratoga,Saratoga Springs 4,Governor,,DEM,Kathy C. Hochul,386
Saratoga,Saratoga Springs 5,Governor,,DEM,Kathy C. Hochul,352
Saratoga,Saratoga Springs 6,Governor,,DEM,Kathy C. Hochul,350
Saratoga,Saratoga Springs 7,Governor,,DEM,Kathy C. Hochul,99
Saratoga,Saratoga Springs 8,Governor,,DEM,Kathy C. Hochul,316
Saratoga,Saratoga Springs 9,Governor,,DEM,Kathy C. Hochul,325
Saratoga,Saratoga Springs 10,Governor,,DEM,Kathy C. Hochul,227
Saratoga,Saratoga Springs 11,Governor,,DEM,Kathy C. Hochul,508
Saratoga,Saratoga Springs 12,Governor,,DEM,Kathy C. Hochul,287
Saratoga,Saratoga Springs 13,Governor,,DEM,Kathy C. Hochul,184
Saratoga,Saratoga Springs 14,Governor,,DEM,Kathy C. Hochul,384
Saratoga,Saratoga Springs 15,Governor,,DEM,Kathy C. Hochul,271
Saratoga,Saratoga Springs 16,Governor,,DEM,Kathy C. Hochul,214
Saratoga,Saratoga Springs 17,Governor,,DEM,Kathy C. Hochul,278
Saratoga,Saratoga Springs 18,Governor,,DEM,Kathy C. Hochul,194
Saratoga,Saratoga Springs 19,Governor,,DEM,Kathy C. Hochul,297
Saratoga,Saratoga Springs 20,Governor,,DEM,Kathy C. Hochul,247
Saratoga,Saratoga Springs 21,Governor,,DEM,Kathy C. Hochul,319
Saratoga,Saratoga Springs 22,Governor,,DEM,Kathy C. Hochul,445
Saratoga,Saratoga Springs 23,Governor,,DEM,Kathy C. Hochul,461
Saratoga,Saratoga Springs 24,Governor,,DEM,Kathy C. Hochul,125
Saratoga,Saratoga Springs 25,Governor,,DEM,Kathy C. Hochul,185
Saratoga,Stillwater 1,Governor,,DEM,Kathy C. Hochul,164
Saratoga,Stillwater 2,Governor,,DEM,Kathy C. Hochul,231
Saratoga,Stillwater 3,Governor,,DEM,Kathy C. Hochul,174
Saratoga,Stillwater 4,Governor,,DEM,Kathy C. Hochul,89
Saratoga,Stillwater 5,Governor,,DEM,Kathy C. Hochul,359
Saratoga,Stillwater 6,Governor,,DEM,Kathy C. Hochul,37
Saratoga,Stillwater 7,Governor,,DEM,Kathy C. Hochul,29
Saratoga,Stillwater 8,Governor,,DEM,Kathy C. Hochul,194
Saratoga,Waterford 1,Governor,,DEM,Kathy C. Hochul,129
Saratoga,Waterford 2,Governor,,DEM,Kathy C. Hochul,98
Saratoga,Waterford 3,Governor,,DEM,Kathy C. Hochul,131
Saratoga,Waterford 4,Governor,,DEM,Kathy C. Hochul,74
Saratoga,Waterford 5,Governor,,DEM,Kathy C. Hochul,150
Saratoga,Waterford 6,Governor,,DEM,Kathy C. Hochul,239
Saratoga,Waterford 7,Governor,,DEM,Kathy C. Hochul,151
Saratoga,Waterford 8,Governor,,DEM,Kathy C. Hochul,262
Saratoga,Wilton 1,Governor,,DEM,Kathy C. Hochul,269
Saratoga,Wilton 2,Governor,,DEM,Kathy C. Hochul,253
Saratoga,Wilton 3,Governor,,DEM,Kathy C. Hochul,238
Saratoga,Wilton 4,Governor,,DEM,Kathy C. Hochul,335
Saratoga,Wilton 5,Governor,,DEM,Kathy C. Hochul,244
Saratoga,Wilton 6,Governor,,DEM,Kathy C. Hochul,146
Saratoga,Wilton 7,Governor,,DEM,Kathy C. Hochul,214
Saratoga,Wilton 8,Governor,,DEM,Kathy C. Hochul,213
Saratoga,Wilton 9,Governor,,DEM,Kathy C. Hochul,324
Saratoga,Wilton 10,Governor,,DEM,Kathy C. Hochul,285
Saratoga,Wilton 11,Governor,,DEM,Kathy C. Hochul,285
Saratoga,Wilton 12,Governor,,DEM,Kathy C. Hochul,215
Saratoga,Wilton 13,Governor,,DEM,Kathy C. Hochul,249
Saratoga,Wilton 14,Governor,,DEM,Kathy C. Hochul,289
Saratoga,Wilton 15,Governor,,DEM,Kathy C. Hochul,166
Saratoga,Ballston 1,Governor,,REP,Lee Zeldin,171
Saratoga,Ballston 2,Governor,,REP,Lee Zeldin,360
Saratoga,Ballston 3,Governor,,REP,Lee Zeldin,505
Saratoga,Ballston 4,Governor,,REP,Lee Zeldin,292
Saratoga,Ballston 5,Governor,,REP,Lee Zeldin,171
Saratoga,Ballston 6,Governor,,REP,Lee Zeldin,497
Saratoga,Ballston 7,Governor,,REP,Lee Zeldin,268
Saratoga,Ballston 8,Governor,,REP,Lee Zeldin,281
Saratoga,Ballston 9,Governor,,REP,Lee Zeldin,190
Saratoga,Charlton 1,Governor,,REP,Lee Zeldin,409
Saratoga,Charlton 2,Governor,,REP,Lee Zeldin,213
Saratoga,Charlton 3,Governor,,REP,Lee Zeldin,229
Saratoga,Charlton 4,Governor,,REP,Lee Zeldin,399
Saratoga,Clifton Park 1,Governor,,REP,Lee Zeldin,239
Saratoga,Clifton Park 2,Governor,,REP,Lee Zeldin,218
Saratoga,Clifton Park 3,Governor,,REP,Lee Zeldin,151
Saratoga,Clifton Park 4,Governor,,REP,Lee Zeldin,363
Saratoga,Clifton Park 5,Governor,,REP,Lee Zeldin,127
Saratoga,Clifton Park 6,Governor,,REP,Lee Zeldin,248
Saratoga,Clifton Park 7,Governor,,REP,Lee Zeldin,121
Saratoga,Clifton Park 8,Governor,,REP,Lee Zeldin,223
Saratoga,Clifton Park 9,Governor,,REP,Lee Zeldin,76
Saratoga,Clifton Park 10,Governor,,REP,Lee Zeldin,238
Saratoga,Clifton Park 11,Governor,,REP,Lee Zeldin,265
Saratoga,Clifton Park 12,Governor,,REP,Lee Zeldin,334
Saratoga,Clifton Park 13,Governor,,REP,Lee Zeldin,200
Saratoga,Clifton Park 14,Governor,,REP,Lee Zeldin,254
Saratoga,Clifton Park 15,Governor,,REP,Lee Zeldin,323
Saratoga,Clifton Park 16,Governor,,REP,Lee Zeldin,201
Saratoga,Clifton Park 17,Governor,,REP,Lee Zeldin,138
Saratoga,Clifton Park 18,Governor,,REP,Lee Zeldin,214
Saratoga,Clifton Park 19,Governor,,REP,Lee Zeldin,241
Saratoga,Clifton Park 20,Governor,,REP,Lee Zeldin,225
Saratoga,Clifton Park 21,Governor,,REP,Lee Zeldin,228
Saratoga,Clifton Park 22,Governor,,REP,Lee Zeldin,269
Saratoga,Clifton Park 23,Governor,,REP,Lee Zeldin,233
Saratoga,Clifton Park 24,Governor,,REP,Lee Zeldin,201
Saratoga,Clifton Park 25,Governor,,REP,Lee Zeldin,273
Saratoga,Clifton Park 26,Governor,,REP,Lee Zeldin,167
Saratoga,Clifton Park 27,Governor,,REP,Lee Zeldin,263
Saratoga,Clifton Park 28,Governor,,REP,Lee Zeldin,168
Saratoga,Clifton Park 29,Governor,,REP,Lee Zeldin,284
Saratoga,Clifton Park 30,Governor,,REP,Lee Zeldin,136
Saratoga,Clifton Park 31,Governor,,REP,Lee Zeldin,326
Saratoga,Clifton Park 32,Governor,,REP,Lee Zeldin,205
Saratoga,Clifton Park 33,Governor,,REP,Lee Zeldin,239
Saratoga,Clifton Park 34,Governor,,REP,Lee Zeldin,332
Saratoga,Corinth 1,Governor,,REP,Lee Zeldin,233
Saratoga,Corinth 2,Governor,,REP,Lee Zeldin,327
Saratoga,Corinth 3,Governor,,REP,Lee Zeldin,332
Saratoga,Corinth 4,Governor,,REP,Lee Zeldin,233
Saratoga,Corinth 5,Governor,,REP,Lee Zeldin,377
Saratoga,Day 1,Governor,,REP,Lee Zeldin,279
Saratoga,Edinburg 1,Governor,,REP,Lee Zeldin,550
Saratoga,Galway 1,Governor,,REP,Lee Zeldin,327
Saratoga,Galway 2,Governor,,REP,Lee Zeldin,361
Saratoga,Galway 3,Governor,,REP,Lee Zeldin,358
Saratoga,Greenfield 1,Governor,,REP,Lee Zeldin,217
Saratoga,Greenfield 2,Governor,,REP,Lee Zeldin,209
Saratoga,Greenfield 3,Governor,,REP,Lee Zeldin,239
Saratoga,Greenfield 4,Governor,,REP,Lee Zeldin,165
Saratoga,Greenfield 5,Governor,,REP,Lee Zeldin,311
Saratoga,Greenfield 6,Governor,,REP,Lee Zeldin,213
Saratoga,Greenfield 7,Governor,,REP,Lee Zeldin,221
Saratoga,Greenfield 8,Governor,,REP,Lee Zeldin,153
Saratoga,Hadley 1,Governor,,REP,Lee Zeldin,222
Saratoga,Hadley 2,Governor,,REP,Lee Zeldin,348
Saratoga,Halfmoon 1,Governor,,REP,Lee Zeldin,266
Saratoga,Halfmoon 2,Governor,,REP,Lee Zeldin,338
Saratoga,Halfmoon 3,Governor,,REP,Lee Zeldin,419
Saratoga,Halfmoon 4,Governor,,REP,Lee Zeldin,420
Saratoga,Halfmoon 5,Governor,,REP,Lee Zeldin,231
Saratoga,Halfmoon 6,Governor,,REP,Lee Zeldin,317
Saratoga,Halfmoon 7,Governor,,REP,Lee Zeldin,279
Saratoga,Halfmoon 8,Governor,,REP,Lee Zeldin,216
Saratoga,Halfmoon 9,Governor,,REP,Lee Zeldin,351
Saratoga,Halfmoon 10,Governor,,REP,Lee Zeldin,115
Saratoga,Halfmoon 11,Governor,,REP,Lee Zeldin,485
Saratoga,Halfmoon 12,Governor,,REP,Lee Zeldin,374
Saratoga,Halfmoon 13,Governor,,REP,Lee Zeldin,132
Saratoga,Halfmoon 14,Governor,,REP,Lee Zeldin,276
Saratoga,Halfmoon 15,Governor,,REP,Lee Zeldin,73
Saratoga,Halfmoon 16,Governor,,REP,Lee Zeldin,88
Saratoga,Halfmoon 17,Governor,,REP,Lee Zeldin,93
Saratoga,Halfmoon 18,Governor,,REP,Lee Zeldin,421
Saratoga,Halfmoon 19,Governor,,REP,Lee Zeldin,219
Saratoga,Malta 1,Governor,,REP,Lee Zeldin,397
Saratoga,Malta 2,Governor,,REP,Lee Zeldin,484
Saratoga,Malta 3,Governor,,REP,Lee Zeldin,167
Saratoga,Malta 4,Governor,,REP,Lee Zeldin,158
Saratoga,Malta 5,Governor,,REP,Lee Zeldin,280
Saratoga,Malta 6,Governor,,REP,Lee Zeldin,385
Saratoga,Malta 7,Governor,,REP,Lee Zeldin,208
Saratoga,Malta 8,Governor,,REP,Lee Zeldin,261
Saratoga,Malta 9,Governor,,REP,Lee Zeldin,187
Saratoga,Malta 10,Governor,,REP,Lee Zeldin,246
Saratoga,Malta 11,Governor,,REP,Lee Zeldin,289
Saratoga,Malta 12,Governor,,REP,Lee Zeldin,378
Saratoga,Mechanicville 1,Governor,,REP,Lee Zeldin,168
Saratoga,Mechanicville 2,Governor,,REP,Lee Zeldin,80
Saratoga,Mechanicville 3,Governor,,REP,Lee Zeldin,126
Saratoga,Mechanicville 4,Governor,,REP,Lee Zeldin,132
Saratoga,Mechanicville 5,Governor,,REP,Lee Zeldin,131
Saratoga,Mechanicville 6,Governor,,REP,Lee Zeldin,148
Saratoga,Milton 1,Governor,,REP,Lee Zeldin,106
Saratoga,Milton 2,Governor,,REP,Lee Zeldin,281
Saratoga,Milton 3,Governor,,REP,Lee Zeldin,162
Saratoga,Milton 4,Governor,,REP,Lee Zeldin,378
Saratoga,Milton 5,Governor,,REP,Lee Zeldin,315
Saratoga,Milton 6,Governor,,REP,Lee Zeldin,250
Saratoga,Milton 7,Governor,,REP,Lee Zeldin,355
Saratoga,Milton 8,Governor,,REP,Lee Zeldin,126
Saratoga,Milton 9,Governor,,REP,Lee Zeldin,339
Saratoga,Milton 10,Governor,,REP,Lee Zeldin,320
Saratoga,Milton 11,Governor,,REP,Lee Zeldin,239
Saratoga,Milton 12,Governor,,REP,Lee Zeldin,262
Saratoga,Milton 13,Governor,,REP,Lee Zeldin,432
Saratoga,Milton 14,Governor,,REP,Lee Zeldin,226
Saratoga,Moreau 1,Governor,,REP,Lee Zeldin,232
Saratoga,Moreau 2,Governor,,REP,Lee Zeldin,188
Saratoga,Moreau 3,Governor,,REP,Lee Zeldin,211
Saratoga,Moreau 4,Governor,,REP,Lee Zeldin,264
Saratoga,Moreau 5,Governor,,REP,Lee Zeldin,407
Saratoga,Moreau 6,Governor,,REP,Lee Zeldin,303
Saratoga,Moreau 7,Governor,,REP,Lee Zeldin,396
Saratoga,Moreau 8,Governor,,REP,Lee Zeldin,221
Saratoga,Moreau 9,Governor,,REP,Lee Zeldin,245
Saratoga,Moreau 10,Governor,,REP,Lee Zeldin,499
Saratoga,Moreau 11,Governor,,REP,Lee Zeldin,304
Saratoga,Northumberland 1,Governor,,REP,Lee Zeldin,491
Saratoga,Northumberland 2,Governor,,REP,Lee Zeldin,260
Saratoga,Northumberland 3,Governor,,REP,Lee Zeldin,227
Saratoga,Northumberland 4,Governor,,REP,Lee Zeldin,243
Saratoga,Providence 1,Governor,,REP,Lee Zeldin,328
Saratoga,Providence 2,Governor,,REP,Lee Zeldin,315
Saratoga,Saratoga 1,Governor,,REP,Lee Zeldin,211
Saratoga,Saratoga 2,Governor,,REP,Lee Zeldin,262
Saratoga,Saratoga 3,Governor,,REP,Lee Zeldin,222
Saratoga,Saratoga 4,Governor,,REP,Lee Zeldin,247
Saratoga,Saratoga 5,Governor,,REP,Lee Zeldin,271
Saratoga,Saratoga Springs 1,Governor,,REP,Lee Zeldin,173
Saratoga,Saratoga Springs 2,Governor,,REP,Lee Zeldin,96
Saratoga,Saratoga Springs 3,Governor,,REP,Lee Zeldin,126
Saratoga,Saratoga Springs 4,Governor,,REP,Lee Zeldin,144
Saratoga,Saratoga Springs 5,Governor,,REP,Lee Zeldin,162
Saratoga,Saratoga Springs 6,Governor,,REP,Lee Zeldin,160
Saratoga,Saratoga Springs 7,Governor,,REP,Lee Zeldin,91
Saratoga,Saratoga Springs 8,Governor,,REP,Lee Zeldin,103
Saratoga,Saratoga Springs 9,Governor,,REP,Lee Zeldin,138
Saratoga,Saratoga Springs 10,Governor,,REP,Lee Zeldin,155
Saratoga,Saratoga Springs 11,Governor,,REP,Lee Zeldin,239
Saratoga,Saratoga Springs 12,Governor,,REP,Lee Zeldin,124
Saratoga,Saratoga Springs 13,Governor,,REP,Lee Zeldin,114
Saratoga,Saratoga Springs 14,Governor,,REP,Lee Zeldin,221
Saratoga,Saratoga Springs 15,Governor,,REP,Lee Zeldin,187
Saratoga,Saratoga Springs 16,Governor,,REP,Lee Zeldin,176
Saratoga,Saratoga Springs 17,Governor,,REP,Lee Zeldin,281
Saratoga,Saratoga Springs 18,Governor,,REP,Lee Zeldin,167
Saratoga,Saratoga Springs 19,Governor,,REP,Lee Zeldin,180
Saratoga,Saratoga Springs 20,Governor,,REP,Lee Zeldin,217
Saratoga,Saratoga Springs 21,Governor,,REP,Lee Zeldin,168
Saratoga,Saratoga Springs 22,Governor,,REP,Lee Zeldin,342
Saratoga,Saratoga Springs 23,Governor,,REP,Lee Zeldin,296
Saratoga,Saratoga Springs 24,Governor,,REP,Lee Zeldin,1
Saratoga,Saratoga Springs 25,Governor,,REP,Lee Zeldin,75
Saratoga,Stillwater 1,Governor,,REP,Lee Zeldin,277
Saratoga,Stillwater 2,Governor,,REP,Lee Zeldin,343
Saratoga,Stillwater 3,Governor,,REP,Lee Zeldin,437
Saratoga,Stillwater 4,Governor,,REP,Lee Zeldin,197
Saratoga,Stillwater 5,Governor,,REP,Lee Zeldin,699
Saratoga,Stillwater 6,Governor,,REP,Lee Zeldin,81
Saratoga,Stillwater 7,Governor,,REP,Lee Zeldin,81
Saratoga,Stillwater 8,Governor,,REP,Lee Zeldin,267
Saratoga,Waterford 1,Governor,,REP,Lee Zeldin,138
Saratoga,Waterford 2,Governor,,REP,Lee Zeldin,146
Saratoga,Waterford 3,Governor,,REP,Lee Zeldin,182
Saratoga,Waterford 4,Governor,,REP,Lee Zeldin,152
Saratoga,Waterford 5,Governor,,REP,Lee Zeldin,164
Saratoga,Waterford 6,Governor,,REP,Lee Zeldin,311
Saratoga,Waterford 7,Governor,,REP,Lee Zeldin,224
Saratoga,Waterford 8,Governor,,REP,Lee Zeldin,363
Saratoga,Wilton 1,Governor,,REP,Lee Zeldin,272
Saratoga,Wilton 2,Governor,,REP,Lee Zeldin,265
Saratoga,Wilton 3,Governor,,REP,Lee Zeldin,237
Saratoga,Wilton 4,Governor,,REP,Lee Zeldin,263
Saratoga,Wilton 5,Governor,,REP,Lee Zeldin,242
Saratoga,Wilton 6,Governor,,REP,Lee Zeldin,219
Saratoga,Wilton 7,Governor,,REP,Lee Zeldin,163
Saratoga,Wilton 8,Governor,,REP,Lee Zeldin,176
Saratoga,Wilton 9,Governor,,REP,Lee Zeldin,330
Saratoga,Wilton 10,Governor,,REP,Lee Zeldin,205
Saratoga,Wilton 11,Governor,,REP,Lee Zeldin,215
Saratoga,Wilton 12,Governor,,REP,Lee Zeldin,195
Saratoga,Wilton 13,Governor,,REP,Lee Zeldin,248
Saratoga,Wilton 14,Governor,,REP,Lee Zeldin,246
Saratoga,Wilton 15,Governor,,REP,Lee Zeldin,133
Saratoga,Ballston 1,Governor,,CON,Lee Zeldin,26
Saratoga,Ballston 2,Governor,,CON,Lee Zeldin,61
Saratoga,Ballston 3,Governor,,CON,Lee Zeldin,90
Saratoga,Ballston 4,Governor,,CON,Lee Zeldin,71
Saratoga,Ballston 5,Governor,,CON,Lee Zeldin,42
Saratoga,Ballston 6,Governor,,CON,Lee Zeldin,89
Saratoga,Ballston 7,Governor,,CON,Lee Zeldin,46
Saratoga,Ballston 8,Governor,,CON,Lee Zeldin,49
Saratoga,Ballston 9,Governor,,CON,Lee Zeldin,36
Saratoga,Charlton 1,Governor,,CON,Lee Zeldin,82
Saratoga,Charlton 2,Governor,,CON,Lee Zeldin,32
Saratoga,Charlton 3,Governor,,CON,Lee Zeldin,47
Saratoga,Charlton 4,Governor,,CON,Lee Zeldin,66
