county,precinct,office,district,party,candidate,election_day,early_voting,absentee,military,affidavit,federal
Schuyler,Catharine 1 Leg 1,Governor,,DEM,Kathy C. Hochul,117,40,0,0,1,0
Schuyler,Cayuta 1 Leg 1,Governor,,DEM,Kathy C. Hochul,28,7,0,0,0,0
Schuyler,Dix 1 Leg 6,Governor,,DEM,Kathy C. Hochul,39,14,0,0,0,0
Schuyler,Dix 2 Leg 6,Governor,,DEM,Kathy C. Hochul,166,84,0,0,4,0
Schuyler,Dix 3 Leg 5,Governor,,DEM,Kathy C. Hochul,80,18,0,0,0,0
Schuyler,Hector 1 Leg 3,Governor,,DEM,Kathy C. Hochul,264,39,0,0,1,0
Schuyler,Hector 2 Leg 3,Governor,,DEM,Kathy C. Hochul,132,4,0,0,0,0
Schuyler,Hector 3 Leg  2,Governor,,DEM,Kathy C. Hochul,126,24,0,0,0,0
Schuyler,Hector 4 Leg 2,Governor,,DEM,Kathy C. Hochul,172,15,0,0,0,0
Schuyler,Hector 5 Leg 3,Governor,,DEM,Kathy C. Hochul,84,11,0,0,3,0
Schuyler,Hector 6 Leg 4,Governor,,DEM,Kathy C. Hochul,63,16,0,0,0,0
Schuyler,Montour 1 Leg 4,Governor,,DEM,Kathy C. Hochul,41,20,0,0,0,0
Schuyler,Montour 2 Leg 5,Governor,,DEM,Kathy C. Hochul,40,10,0,0,0,0
Schuyler,Montour 3 Leg 4,Governor,,DEM,Kathy C. Hochul,119,19,0,0,0,0
Schuyler,Orange 1 Leg 8,Governor,,DEM,Kathy C. Hochul,62,12,0,0,2,0
Schuyler,Reading 1 Leg 7,Governor,,DEM,Kathy C. Hochul,106,13,0,0,0,0
Schuyler,Reading 2 Leg 6,Governor,,DEM,Kathy C. Hochul,38,30,0,0,1,0
Schuyler,Tyrone 1 Leg 7,Governor,,DEM,Kathy C. Hochul,30,6,0,0,0,0
Schuyler,Tyrone 2 Leg 8,Governor,,DEM,Kathy C. Hochul,90,7,0,0,1,0
Schuyler,CC Catharine 1 Leg 1,Governor,,DEM,Kathy C. Hochul,0,0,21,0,0,0
Schuyler,CC Cayuta 1 Leg 1,Governor,,DEM,Kathy C. Hochul,0,0,1,0,0,0
Schuyler,CC Dix 1 Leg 6,Governor,,DEM,Kathy C. Hochul,0,0,7,0,0,0
Schuyler,CC Dix 2 Leg 6,Governor,,DEM,Kathy C. Hochul,0,0,30,0,0,0
Schuyler,CC Dix 3 Leg 5,Governor,,DEM,Kathy C. Hochul,0,0,19,1,0,0
Schuyler,CC Hector 1 Leg 3,Governor,,DEM,Kathy C. Hochul,0,0,25,3,0,0
Schuyler,CC Hector 2 Leg 3,Governor,,DEM,Kathy C. Hochul,0,0,13,1,0,0
Schuyler,CC Hector 3 Leg 2,Governor,,DEM,Kathy C. Hochul,0,0,14,0,0,0
Schuyler,CC Hector 4 Leg 2,Governor,,DEM,Kathy C. Hochul,0,0,17,0,0,0
Schuyler,CC Hector 5 Leg 3,Governor,,DEM,Kathy C. Hochul,0,0,7,0,0,0
Schuyler,CC Hector 6 Leg 4,Governor,,DEM,Kathy C. Hochul,0,0,8,0,0,0
Schuyler,CC Montour 1 Leg 4,Governor,,DEM,Kathy C. Hochul,0,0,6,0,0,0
Schuyler,CC Montour 2 Leg 5,Governor,,DEM,Kathy C. Hochul,0,0,6,0,0,0
Schuyler,CC Montour 3 Leg 4,Governor,,DEM,Kathy C. Hochul,0,0,23,0,0,0
Schuyler,CC Orange Leg 8,Governor,,DEM,Kathy C. Hochul,0,0,16,0,0,0
Schuyler,CC Reading 1 Leg 7,Governor,,DEM,Kathy C. Hochul,0,0,7,1,0,0
Schuyler,CC Reading 2 Leg 6,Governor,,DEM,Kathy C. Hochul,0,0,4,0,0,0
Schuyler,CC Tyrone 1 Leg 7,Governor,,DEM,Kathy C. Hochul,0,0,2,0,0,0
Schuyler,CC Tyrone 2 Leg 8,Governor,,DEM,Kathy C. Hochul,0,0,5,0,0,0
